country,year,sex,measure,category,method,unit,value
Czechia,2017,Female,Life expectancy,Total,,Years,81.9
Czechia,2016,Female,Life expectancy,Total,,Years,81.9
Czechia,2015,Female,Life expectancy,Total,,Years,81.5
Czechia,2021,Male,Life expectancy,Total,,Years,74.1
Czechia,2020,Male,Life expectancy,Total,,Years,75.3
Czechia,2019,Male,Life expectancy,Total,,Years,76.3
Czechia,2018,Male,Life expectancy,Total,,Years,76.1
Czechia,2017,Male,Life expectancy,Total,,Years,76
Czechia,2016,Male,Life expectancy,Total,,Years,76
Czechia,2015,Male,Life expectancy,Total,,Years,75.6
Czechia,2024,Female,Life expectancy,Total,,Years,83
Czechia,2023,Female,Life expectancy,Total,,Years,82.7
Czechia,2022,Female,Life expectancy,Total,,Years,81.9
Czechia,2021,Female,Life expectancy,Total,,Years,80.5
Czechia,2020,Female,Life expectancy,Total,,Years,81.3
Czechia,2024,Total,Life expectancy,Total,,Years,80.1
Czechia,2023,Total,Life expectancy,Total,,Years,79.8
Czechia,2022,Total,Life expectancy,Total,,Years,79
Czechia,2021,Total,Life expectancy,Total,,Years,77.2
Czechia,2020,Total,Life expectancy,Total,,Years,78.3
Czechia,2019,Total,Life expectancy,Total,,Years,79.2
Czechia,2018,Total,Life expectancy,Total,,Years,79
Czechia,2017,Total,Life expectancy,Total,,Years,79
Czechia,2016,Total,Life expectancy,Total,,Years,79
Czechia,2015,Total,Life expectancy,Total,,Years,78.6
Denmark,2023,Male,Life expectancy,Total,,Years,79.7
Denmark,2022,Male,Life expectancy,Total,,Years,79.4
Denmark,2019,Female,Life expectancy,Total,,Years,83.4
Denmark,2018,Female,Life expectancy,Total,,Years,82.9
Denmark,2017,Female,Life expectancy,Total,,Years,83.1
Denmark,2016,Female,Life expectancy,Total,,Years,82.8
Denmark,2015,Female,Life expectancy,Total,,Years,82.7
Denmark,2021,Male,Life expectancy,Total,,Years,79.6
Denmark,2020,Male,Life expectancy,Total,,Years,79.6
Denmark,2019,Male,Life expectancy,Total,,Years,79.4
Denmark,2018,Male,Life expectancy,Total,,Years,79
Denmark,2017,Male,Life expectancy,Total,,Years,79.1
Denmark,2016,Male,Life expectancy,Total,,Years,78.9
Denmark,2015,Male,Life expectancy,Total,,Years,78.8
Denmark,2024,Female,Life expectancy,Total,,Years,83.9
Denmark,2023,Female,Life expectancy,Total,,Years,83.6
Denmark,2022,Female,Life expectancy,Total,,Years,83.2
Denmark,2021,Female,Life expectancy,Total,,Years,83.3
Denmark,2020,Female,Life expectancy,Total,,Years,83.5
Denmark,2024,Total,Life expectancy,Total,,Years,82
Denmark,2023,Total,Life expectancy,Total,,Years,81.7
